question,party_name,comment_text
"Wynik każdego referendum ogólnokrajowego powinien być wiążący
niezależnie od frekwencji.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,Referendum to najbardziej wartościowy mechanizm demokratyczny obok wyborów powszechnych. Tym bardziej jego wagę należy chronić przez warunek frekwencyjny. Wymóg 50%+1 głos dla ważnosci referendum jest właściwy.
"Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów
przyjęte przez Unię Europejską.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Polacy przyjęli w 2022 r. uchodźców z Ukrainy w liczbie kilku milionów, z czego około miliona dalej pozostaje na terytorium naszego kraju, dlatego nie powinniśmy być obejmowani żadnym przymusowym mechanizmem relokacji migrantów."
"Należy wzmocnić niezależność władzy sądowniczej od parlamentu
i rządu.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Potrzebne jest powołanie okrągłego stołu ds. wymiaru sprawiedliwości w którym decydujący głos będą mieli niezależni fachowcy, a nie politycy. Wśród ekspertów ze środowisk sędziowskich i innych zawodów prawniczych i w dialogu z nimi powinno być wypracowane rozwiązanie w postaci pakietu ustaw porządkujących sytuację w instytucjach wymiaru sprawiedliwości. Musi on zawierać rozwiązania przywracające niezależność Krajowej Rady Sądownictwa, zniesienie represyjnych przepisów z tzw. „ustawy kagańcowej” czy naprawienie sytuacji w Sądzie Najwyższym i Trybunale Konstytucyjnym."
"Udział wydatków na obronność w PKB Polski powinien być dalej
zwiększany.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Popieramy w pełni utrzymanie stałego wzrostu wydatków na armię, ale połowa tych środków musi być wydana w polskim przemyśle zbrojeniowym, w myśl zasady „Bądźmy silni tym, co produkujemy”, która jest motywem przewodnim naszego programu wsparcia polskiego przemysłu zbrojeniowego. Zakupy zagraniczne muszą natomiast przewidywać inwestycje oraz transfer najnowocześniejszych technologii z zagranicy do polskiego przemysłu zbrojeniowego. Bez tego nie ma realnego wzmocnienia naszego potencjału obronnego i nie rozwijają się polskie zakłady zbrojeniowe."
"Należy zwiększyć kompetencje samorządów lokalnych kosztem
rządu centralnego.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Uważamy, że zadania publiczne są realizowane zdecydowanie bardziej efektywnie na poziomie lokalnym i regionalnym, niż za pośrednictwem centrali. To ludzie „na dole” wiedzą lepiej, jakie mają potrzeby i potrafią skuteczniej szukać na nie dobrych odpowiedzi. Chcemy Polski zdecentralizowanej, w której decyzje zapadają jak najbliżej mieszkańców. Za tym musi iść również gwarancja finansowania zadań samorządów oraz lokalnych inicjatyw."
"Polska powinna odejść od wydobycia węgla nie później niż w 2040
roku.",KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Odejście od węgla powinno zdarzyć się najpóźniej w 2040 r., a neutralność klimatyczna - najpóźniej 10 lat po tym. Zielona zmiana musi być sprawiedliwa i korzystna dla portfeli Polaków. Dlatego musimy ją oprzeć o energię z polskiego wiatru i polskiego słońca, a proces ten musi objąć mechanizmy osłonowe dla pracowników uzależnionych dziś od istnienia przemysłu górniczego"
Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"Powinniśmy uczynić wszystko, aby Ukraina obroniła swoją niepodległość i niezawisłość. Nie możemy jednak zapominać o polskich interesach i o polskiej gospodarce. Trzeba wprowadzić kaucje wwozowe na terytorium Polski, tak aby produkty eksportowane przez Ukrainę docierały tam gdzie ich potrzeba – do Afryki, a nie zalewały polskie skupy i magazyny walnie przyczyniając się do nieopłacalności produkcji rolnej w Polsce."
Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"To wartości rozumiane, jako misja pomocy tym, którzy tego naprawdę potrzebują. Rozumiemy to m.in. jako upodmiotowienie osób z niepełnosprawnościami, zagwarantowanie równie dobrej szkoły i lekarza w każdym zakątku Polski."
Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,"W obecnej formule na pewno należy ograniczyć to finansowanie. Natomiast stoimy na stanowisku, iż zarządzanie mediami publicznymi powinno się znaleźć w rękach niezależnych od partii ekspertów. Tylko bezstronne media są w stanie obiektywnie relacjonować rzeczywistość, efektywnie propagować kulturę i dbać o tożsamość narodową. Nie udźwignie tego ciężaru w pełni upolityczniona telewizja czy radio, które zamiast pokazywać rzetelnie fakty manipuluje nimi i ukierunkowuje opinię publiczną na „jedyną słuszną linię”."
Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,KKW Trzecia Droga Polska 2050 Szymona Hołowni – Polskie Stronnictwo Ludowe,Ostatnie osiem lat pokazały jak służby mogą manipulować informacjami i faktami o obywatelach przy wykorzystaniu legalnych i nielegalnych narzędzi. Trzeba z tym skończyć definitywnie.
"Unia Europejska powinna mieć mniejszy wpływ na polską politykę
wewnętrzną.",KW Prawo i Sprawiedliwość,"Doceniamy znaczenie i osiagnięcia Unii Europejskiej, jednocześnie oczekując reform i zmian, które zapewnia tej wspólnocie międzynarodowej kształt „Europy ojczyzn”. Nie akceptujemy erozji suwerenności europejskich państw, naruszania traktatów, które zmierzają do centralizacji procesu decyzyjnego Unii Europejskiej poza kontrolą parlamentów krajowych."
"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla
obywateli.",KW Prawo i Sprawiedliwość,"Polityka społeczna, jaką prowadzimy w znacznym stopniu ograniczyła ubóstwo w polskich rodzinach i poprawiła sytuację materialną polskich obywateli. Wdrażane rozwiązania, takie jak godna waloryzacja rent emerytur, świadczenie wychowawcze na dzieci 500+, wyprawka dla uczniów to tylko niektóre z form wsparcia jakie dzięki naszej polityce funkcjonują, a są de facto odwzorowaniem standardów europejskich. Dlatego w momencie pojawienia się kryzysu inflacyjnego spowodowanego przez Rosję zaproponowaliśmy system tarcz antyinflacyjnych, w tym obniżenia podatku VAT na żywność do 0% i innych działań, które pozwoliły ograniczyć skutki inflacji dla Polaków."
"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów,
jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",KW Prawo i Sprawiedliwość,"Priorytetem jest zwiększenie liczby specjalistów. Robimy to konsekwentnie od 2016 r., wychodząc powoli z zapaści kadrowej, wynikającej z zaniedbania związanego z kształceniem. W 2015 r. na kierunkach lekarskich kształciło sie ponad 7 tys. studentów, dziś jest to ponad 11 tys. Zwiększamy przy tym liczbę miejsc rezydenckich, czyli miejsc, w których lekarz realizuje specjalizacje medyczna. Większa dostępność lekarzy oznacza skrócenie czasu oczekiwania pacjenta na wizytę. Pierwszym krokiem do tego celu jest zwiększanie liczby studentów na kierunku lekarskim i innych kierunkach medycznych. W ostatnich latach dokonaliśmy w kraju skoku ilościowego. Nie zatrzymujemy sie i chcemy kontynuować proces kształcenia specjalistów. Otwieramy kierunek lekarski na wielu uczelniach, zwiększamy liczbę miejsc specjalizacyjnych, co pomoże zapewnić równy dostęp do specjalistów na terenie całego kraju."
"Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego
dziecka.",KW Prawo i Sprawiedliwość,"Będziemy dbać i wspierać szczególnie te samorządy, gdzie jeszcze nie ma publicznego żłobka, aby rodzice w całej Polsce mieli realny wybór form opieki nad swoimi najmłodszymi dziećmi. Będziemy udoskonalać także system finansowania opieki nad dziećmi, by żłobki były dostępne nie tylko blisko miejsca zamieszkania, ale także dostępne finansowo dla rodziców. Inwestycje w ramach programu „Maluch+” to zarówno nowoczesne budynki o wysokim standardzie, w pełni dostosowane do potrzeb dzieci, jak i wysoka jakość opieki dzięki ciągłemu podnoszeniu kompetencji opiekunów. Będziemy tez rozwijać wsparcie innych form opieki niż opieka żłobkowa, szanując preferencje rodziców. Dzięki realizacji programu „Maluch+” w każdej gminie powstanie przynajmniej jeden żłobek."
"Szkoły powinny mieć większą swobodę w doborze treści poruszanych
w programie nauczania.",KW Prawo i Sprawiedliwość,Komitet nie udzielił komentarza.
Państwo powinno budować mieszkania niskoczynszowe na wynajem.,KW Prawo i Sprawiedliwość,"Będziemy kontynuować i rozwijać programy budownictwa socjalnego i komunalnego oraz społecznego budownictwa czynszowego. Rosnąca liczba składanych w tych programach wniosków pokazuje, że w krótkiej perspektywie osiągalny jest przyrost rozpoczynanych na ich podstawie inwestycji do poziomu nawet 20–25 tys. mieszkań rocznie."
Należy podwyższyć podatki dla najlepiej zarabiających osób.,KW Prawo i Sprawiedliwość,"Doprowadziliśmy do historycznej obniżki podatku PIT z 18 na 12%. Podnieśliśmy kwotę wolną od podatku do 30 tys. zł. Dzięki temu większość podatników zapłaciła niższe podatki za 2022 r. Dowodzą tego rekordowe zwroty PIT z tego roku. Zwróciliśmy podatnikom ok. 27 mld zł. PiS wprowadził już tzw. daninę solidarnościową, którą płacą Polacy zarabiający powyżej 1 mln złotych rocznie."
"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę
dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.",KW Prawo i Sprawiedliwość,"Państwo polskie powinno tworzyć system emerytalny, który jest w stanie zapewnić godne warunki życia dla osób, które zakończyły swoją aktywność zawodową bądź na skutek przekroczenia ustawowego wieku emerytalnego (60 K, 65 M), bądź w skutek przyczyn biologicznych, zdrowotnych, które uniemożliwiają im kontynuowanie aktywności zawodowej, a wymuszają konieczność przejścia na wcześniejszą emeryturę pomostową lub stażową (po 38 latach pracy dla kobiet i 43 latach pracy dla mężczyzn). Chcemy, aby każdy miał wolność wyboru i mógł sam decydować, mając na uwadze swoje zdolności i możliwości pracy zawodowej."
Należy zliberalizować prawo aborcyjne.,KW Prawo i Sprawiedliwość,"Tę sprawę reguluje konstytucja. Sejm nie zmieniał prawa w tym zakresie, a polskie prawo aborcyjne, w zakresie ochrony zdrowia i życia kobiety, także w przypadku ciąży pochodzącej z przestępstwa w żaden sposób od lat się nie zmieniło. W przypadku zagrożenia, lekarz ma zawsze obowiązek ratowania życia i zdrowia ciężarnej matki."
"Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej
wysokości niezależnie od dochodu.",KW Prawo i Sprawiedliwość,"Taka sytuacja spowodowałaby, że ktoś kto zarabia 60 tysięcy złotych miesięcznie płaciłby tyle samo co osoba, która zarabia 6 tysięcy złotych. Osoby na etacie płacą składkę zdrowotną w zależności od dochodu i tak samo powinno być w przypadku przedsiębiorców."
"Wynik każdego referendum ogólnokrajowego powinien być wiążący
niezależnie od frekwencji.",KW Prawo i Sprawiedliwość,"W świetle polskiego prawa, polskiej konstytucji wynik referendum jest wiążący jeżeli weźmie w nim udział co najmniej 50% uprawnionych do głosowania. Każda władza ten wynik powinna uszanować, gdyż jest to wyraz woli obywateli, najwyższa forma demokracji. Próg frekwencyjny pozwala zablokować działania skrajne, które w konsekwencji mogłyby się przełożyć na niepokoje społeczne. Próg ten finalnie powinien być niższy."
"Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów
przyjęte przez Unię Europejską.",KW Prawo i Sprawiedliwość,"Polityka otwartych drzwi forsowana przez Kanclerz Angelę Merkel i ówczesnego szefa Rady Europejskiej Donalda Tuska nie sprawdziła się. Osoby, które napłynęły do Europy w latach 2014-2017, często bez dokumentów tożsamości lub z podrobionymi, w żaden sposób nie asymilują się, a wręcz są źródłem różnego rodzaju problemów społecznych, takich jak przemoc, przestępstwa, czy gwałty. Jedynym skutecznym rozwiązaniem jest uszczelnienie granic zewnętrznych UE i wspieranie migrantów w ich krajach pochodzenia. Przyjmowanie migrantów, ich przymusowa relokacja w UE jest szkodliwa z punktu widzenia bezpieczeństwa obywateli i legitymizuje przestępcze działania szajek przemytniczych."
"Należy wzmocnić niezależność władzy sądowniczej od parlamentu
i rządu.",KW Prawo i Sprawiedliwość,"Władza sądownicza w Polsce powinna być kontrolowana przez społeczeństwo, a najlepszą formą demokratycznej kontroli jest emanacja społeczeństwa obecna w parlamencie. Władza sądownicza jest niezależna od rządu."
"Udział wydatków na obronność w PKB Polski powinien być dalej
zwiększany.",KW Prawo i Sprawiedliwość,Prawo i Sprawiedliwość zwiększyło wydatki na obronność z niecałych 2% PKB do ponad 4% PKB. Zagrożenie ze wschodu wymaga odpowiednich przygotowań.
"Należy zwiększyć kompetencje samorządów lokalnych kosztem
rządu centralnego.",KW Prawo i Sprawiedliwość,"Polska jest państwem jednolitym i nieodzownym elementem rozwoju jest współpraca władzy centralnej i samorządowej. Od wielu lat rząd PiS systematycznie wzmacnia polski samorząd poprzez liczne programy inwestycyjne, które mają pozytywny wpływ na realizację kompetencji ustawowych w tym zadań inwestycyjnych, które służą społeczności lokalnej."
"Polska powinna odejść od wydobycia węgla nie później niż w 2040
roku.",KW Prawo i Sprawiedliwość,Polska powinna otrzymać czas na transformacje energetyczną i zastąpienie węgla energią atomową i OZE. Węgiel nawet po tym okresie powinien pozostać jako rezerwa strategiczna naszego kraju.
Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,KW Prawo i Sprawiedliwość,"Prawo i Sprawiedliwość podejmuje decyzje zawsze w interesie polskich obywateli. W sytuacji pojawiających się zagrożeń, mogących zdestabilizować nasz rynek wewnętrzny, nasze rolnictwo, nie mieliśmy wątpliwości, aby podjąć suwerenną decyzję o zamknięciu granic na import zboża do Polski z Ukrainy, dopuszczając jednak jego tranzyt do innych krajów świata. Czasy rządów na telefon z Berlina, Brukseli, czy Moskwy się skończyły. Interes polskich obywateli jest dla nas najważniejszy."
Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,KW Prawo i Sprawiedliwość,Komitet nie udzielił komentarza.
Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,KW Prawo i Sprawiedliwość,"Brytyjskie BBC, francuska telewizja publiczna, niemieckie ARD czy ZDF - wszystkie te media publiczne są dotowane przez państwo. Niemieckie media publiczne otrzymują rocznie ok. 45 mld zł, a w Wielkiej Brytanii kwota ta przekracza 25 mld zł. W Polsce ta kwota to około 3,5 mld zł, a więc wielokrotnie mniej niż w tych państwach."
Należy ograniczyć uprawnienia służb specjalnych w zakresie śledzenia aktywności obywateli w Internecie.,KW Prawo i Sprawiedliwość,W Polsce uprawnienia służb specjalnych w tym zakresie nie różnią się od innych demokratycznych państw europejskich. Kontrola państwa w tym zakresie jest i musi być ograniczona do osób podejrzewanych o działalność przestępczą lub zagrażającą bezpieczeństwu.
"Unia Europejska powinna mieć mniejszy wpływ na polską politykę
wewnętrzną.",KW Nowa Lewica,"Będziemy dążyć do umacniania roli Polski w Unii Europejskiej poprzez współpracę z jej państwami członkowskimi i instytucjami, opartą na poszanowaniu i zaufaniu. Zakończymy szkodliwy spór z Unią Europejską przez zapewnienie w Polsce niezależnego i sprawiedliwego sądownictwa. Odblokujemy potrzebne Polsce środki z Krajowego Planu Odbudowy. Dzięki naprawie stosunków z partnerami europejskimi Polska będzie miała realny wpływ na kierunek rozwoju Unii Europejskiej."
"Należy zwiększyć transfery społeczne, by ograniczyć skutki inflacji dla
obywateli.",KW Nowa Lewica,"Strategia państwa w obliczu kryzysu kosztów życia powinna uwzględniać charakter obecnej inflacji i opierać się na czterech filarach: 
- inwestycjach w obszarach zaniedbanych przez poprzednie rządy (bezemisyjna i niezależna od dostaw paliw z Rosji energetyka, zrównoważony transport, aktywna polityka mieszkaniowa); 
- ściąganiu pieniędzy z rynku; 
- działaniach osłonowych dla społeczeństwa; 
- konsekwentnej polityce antymonopolowej, w tym zwalczaniu zmów cenowych i zjawiska pompowania marż."
"Państwo powinno finansować prywatne wizyty u lekarzy specjalistów,
jeśli czas oczekiwania w publicznej placówce przekracza trzy miesiące.",KW Nowa Lewica,"Będziemy dążyć do przekazywania 8% PKB na ochronę zdrowia – bez księgowych sztuczek. Zwiększenie środków na publiczną ochronę zdrowia pozwoli zapewnić pacjentom wysoki standard świadczeń na NFZ, oddłużyć szpitale i umożliwi znaczne skrócenie kolejek. Proponowane rozwiązanie będzie zatem potrzebne wyłącznie w sytuacjach awaryjnych."
"Państwo powinno zapewnić bezpłatne miejsce w żłobku dla każdego
dziecka.",KW Nowa Lewica,"Prawie 3/4 rodziców łączy wychowywanie dzieci z pracą. Mimo to mniej niż 1/4 dzieci uczęszcza do żłobka. W ciągu jednej kadencji zapewnimy ok. 100 tys. nowych miejsc w żłobkach, współfinansowanych ze środków Unii Europejskiej."
"Szkoły powinny mieć większą swobodę w doborze treści poruszanych
w programie nauczania.",KW Nowa Lewica,"Tak, przy poszanowaniu wspólnej podstawy programowej. Podstawy programowe będą współtworzone i zatwierdzane przez zespoły specjalistów wskazanych przez oświatowe związki zawodowe i uczelnie publiczne. MEN i kuratoria oświaty zajmą się prawdziwymi problemami szkół, a nie sumieniami czy wyglądem uczniów. Rozwiniemy współpracę szkół publicznych z trzecim sektorem i lokalną społecznością, co pozwoli na wzbogacenie oferty edukacyjnej. W szkołach ponadpodstawowych zajęcia dodatkowe będą obowiązkowo opiniowane przez samorząd szkolny."
Państwo powinno budować mieszkania niskoczynszowe na wynajem.,KW Nowa Lewica,"W latach 2025-2029 zbudujemy w ramach Krajowego Programu Mieszkaniowego 300 000 nowoczesnych mieszkań na tani wynajem. Cały program będzie kosztować 20 miliardów rocznie, z czego 3 mld zł (środki na mieszkalnictwo za lata 2024-2026 pochodzące z unijnej części KPO) pokryją fundusze europejskie."
Należy podwyższyć podatki dla najlepiej zarabiających osób.,KW Nowa Lewica,"Obniżymy stawkę podatku VAT. Uprościmy przepisy prawa o podatku dochodowym i zapiszemy je w dwóch czytelnych ustawach: o podatnikach PIT i podatnikach CIT. Wprowadzimy progresywną skalę PIT, odciążającą gospodarstwa domowe o niskich i średnich dochodach oraz zwiększymy koszty uzyskania przychodu dla pracowników. Opodatkujemy wielkie korporacje cyfrowe i wprowadzimy skuteczne działania na rzecz przeciwdziałania unikaniu opodatkowania. Opodatkujemy nadmiarowe zyski spółek energetycznych i paliwowych."
"Należy wprowadzić możliwość przejścia na wcześniejszą emeryturę
dla osób, które przepracowały określoną liczbę lat, niezależnie od ich wieku.",KW Nowa Lewica,"Wprowadzimy emerytury stażowe, czyli możliwość przejścia na emeryturę pracownikom o bardzo długim stażu pracy. W wielu przypadkach osoby te – ze względu na negatywny wpływ wieloletniej ciężkiej pracy, zwykle fizycznej, na stan zdrowia – przez ostatnich kilka lat przed osiągnięciem wieku emerytalnego napotykają przeszkody w kontynuowaniu aktywności zawodowej, a jednocześnie nie spełniają kryteriów wymaganych do przyznania im renty z tytułu niezdolności do pracy."
Należy zliberalizować prawo aborcyjne.,KW Nowa Lewica,Wprowadzimy uzależnione wyłącznie od decyzji kobiety prawo do przerwania ciąży do 12 tygodnia.
"Wszyscy przedsiębiorcy powinni płacić składkę zdrowotną tej samej
wysokości niezależnie od dochodu.",KW Nowa Lewica,Za dobry kierunek uznajemy połączenie składki zdrowotnej z podatkiem. Od nowej daniny przysługiwałaby kwota wolna. Przedsiębiorcy powinni móc wybierać między rozliczaniem proporcjonalnym do przychodu – tak jak w „małym ZUS” – a rozliczaniem według starych zasad.
"Wynik każdego referendum ogólnokrajowego powinien być wiążący
niezależnie od frekwencji.",KW Nowa Lewica,"Ostatnie referenda zorganizowane z inicjatywy prezydenta Komorowskiego oraz PiS pokazują, że nie jest to rozwiązanie zasługujące na poparcie. Model demokracji bezpośredniej wprowadzany w Polsce powinien być oparty o rozwiązania sprawdzone na Zachodzie, takie jak panele obywatelskie."
"Polska powinna przyjąć rozwiązania dotyczące relokacji migrantów
przyjęte przez Unię Europejską.",KW Nowa Lewica,"Z zastrzeżeniem, że dzisiaj i w najbliższych latach Polska powinna być zwolniona z uczestnictwa w mechanizmie w związku z przyjęciem uchodźców z Ukrainy."
"Należy wzmocnić niezależność władzy sądowniczej od parlamentu
i rządu.",KW Nowa Lewica,"Zagwarantujemy rządy prawa. Odpowiedzialni za naruszenie Konstytucji wreszcie staną przed Trybunałem Stanu. Powołamy komisję prawa i sprawiedliwości, która zbierze wszystkie naruszenia prawa przez władzę w latach 2015-2023 i opracuje specjalny raport dla organów ścigania. Trybunał Konstytucyjny, Sąd Najwyższy oraz Krajowa Rada Sądownictwa staną się niezależne od polityków. Rozdzielimy funkcję Prokuratora Generalnego od Ministra Sprawiedliwości."
"Udział wydatków na obronność w PKB Polski powinien być dalej
zwiększany.",KW Nowa Lewica,Obecny poziom jest wysoki i wystarczający. Będziemy kontynuować program modernizacji wyposażenia armii i dostosowanie jej do potrzeb dzisiejszych czasów oraz przeprowadzimy przegląd obecnych programów modernizacyjnych. Każdy zakup wyposażenia dla polskiej armii powinien nieść ze sobą import i przyswojenie technologii przez rodzimy przemysł obronny.
"Należy zwiększyć kompetencje samorządów lokalnych kosztem
rządu centralnego.",KW Nowa Lewica,"Samorząd lokalny i rząd centralny nie są konkurentami – powinny wzajemnie się uzupełniać i dobrze współpracować. Popieramy zwiększenie dochodów własnych jednostek samorządu terytorialnego, w tym przez zwiększenie ich udziału we wpływach z PIT czy przyznanie im udziału we wpływach z VAT. Opowiadamy się za współpracą państwa i samorządów w prowadzeniu programu budowy mieszkań na wynajem."
"Polska powinna odejść od wydobycia węgla nie później niż w 2040
roku.",KW Nowa Lewica,"Musimy być krajem jednocześnie bezpiecznym energetycznie i poważnie traktującym kwestię zmian klimatu. Zamiast uzależniać się od surowców z Rosji i innych dyktatur, postawimy na rozwój energetyki opartej na źródłach odnawialnych i energii jądrowej. Odejście od paliw kopalnych jest koniecznością cywilizacyjną. Będziemy wspierać badania polskie i europejskie w zakresie czystej energii, efektywności energetycznej i magazynowania energii."
Polska powinna doprowadzić do zablokowania importu zboża z Ukrainy.,KW Nowa Lewica,"Opowiadamy się za wsparciem dla walczącej Ukrainy. Pomoc Ukrainie nie może jednak oznaczać biedy polskich rolników. W pełni popieramy tranzyt ukraińskiego zboża na Zachód i dalej do państw Globalnego Południa. Wszystkie państwa UE chronią swoje rynki rolne. Do czasu ustabilizowania sytuacji rynkowej w Polsce, ukraińskie zboże nie powinno być sprzedawane w Polsce."
Wartości chrześcijańskie powinny być podstawą polityki społecznej państwa.,KW Nowa Lewica,"Skończymy z uprzywilejowaną pozycją Kościoła katolickiego i wypowiemy konkordat. Wyprowadzimy religię ze szkół do salek katechetycznych i skończymy z finansowaniem z publicznych środków wynagrodzeń katechetów. Wprowadzimy w życie do tej pory nierealizowaną zasadę neutralności religijnej urzędów oraz instytucji państwowych, które mają służyć wszystkim obywatelom bez względu na ich wyznanie lub jego brak. Uchylimy art. 196 Kodeksu karnego o obrazie uczuć religijnych"
Należy ograniczyć finansowanie mediów publicznych z budżetu państwa.,KW Nowa Lewica,"Sprzeciwiamy się przekazywaniu 2 mld zł rocznie na propagandową TVP. Tak długo jak długo media publiczne będą narzędziem propagandy nie powinny otrzymywać finansowania w tej skali. W nowym rządzie Lewica podejmie się zadania stworzenia profesjonalnych, pluralistycznych mediów publicznych o ustalonych standardach prowadzenia zrównoważonej debaty publicznej. Takie media będą zasługiwały na stabilne finansowanie."
